19-04-2021 11:30:00,https://sport.detik.com/sepakbola/liga-inggris/d-5537698/solskjaer-sudah-temukan-posisi-ideal-untuk-mason-greenwood,https://akcdn.detik.net.id/community/media/visual/2021/04/19/mason-greenwood-1_11.jpeg?w=150&q=80,Solskjaer Sudah Temukan Posisi Ideal untuk Mason Greenwood,sport.detik.com
19-04-2021 11:05:00,https://sport.detik.com/sepakbola/uefa/d-5537688/kenapa-european-super-league-dikecam-banyak-pihak,https://akcdn.detik.net.id/community/media/visual/2020/06/18/uefa_11.jpeg?w=150&q=80,Kenapa European Super League Dikecam Banyak Pihak?,sport.detik.com
19-04-2021 10:35:00,https://sport.detik.com/sepakbola/detiktv/d-5537647/liga-super-eropa-didukung-12-klub-top-ditolak-fifa,https://akcdn.detik.net.id/community/media/visual/2021/01/21/fifa_11.jpeg?w=150&q=80,"Liga Super Eropa: Didukung 12 Klub Top, Ditolak FIFA",sport.detik.com
19-04-2021 10:26:00,https://sport.detik.com/sepakbola/liga-spanyol/d-5537625/real-madrid-tak-punya-batas,https://akcdn.detik.net.id/community/media/visual/2021/04/19/getafe-vs-madrid_11.jpeg?w=150&q=80,Real Madrid Tak Punya Batas,sport.detik.com
19-04-2021 09:40:00,https://sport.detik.com/sepakbola/liga-jerman/d-5537494/bayern-munich-tolak-pengunduran-diri-hansi-flick,https://akcdn.detik.net.id/community/media/visual/2021/04/19/hansi-flick_11.jpeg?w=150&q=80,Bayern Munich Tolak Pengunduran Diri Hansi Flick,sport.detik.com
19-04-2021 09:20:00,https://sport.detik.com/sepakbola/uefa/d-5537484/bos-juventus-agnelli-lepas-jabatan-presiden-asosiasi-klub-eropa,https://akcdn.detik.net.id/community/media/visual/2021/04/19/andrea-agnelli_11.jpeg?w=150&q=80,Bos Juventus Agnelli Lepas Jabatan Presiden Asosiasi Klub Eropa,sport.detik.com
19-04-2021 09:00:00,https://sport.detik.com/sepakbola/uefa/d-5537442/daftar-12-klub-yang-sepakat-ikut-liga-super-eropa,https://akcdn.detik.net.id/community/media/visual/2021/04/19/logo-uefa_11.jpeg?w=150&q=80,Daftar 12 Klub yang Sepakat Ikut Liga Super Eropa,sport.detik.com
19-04-2021 08:40:00,https://sport.detik.com/sepakbola/liga-inggris/d-5537454/permainan-chelsea-sukses-bikin-city-melempem,https://akcdn.detik.net.id/community/media/visual/2021/04/18/chelsea-1_11.jpeg?w=150&q=80,Permainan Chelsea Sukses Bikin City Melempem,sport.detik.com
19-04-2021 08:20:00,https://sport.detik.com/sepakbola/liga-indonesia/d-5537453/pss-vs-persib-ini-pemain-maung-bandung-yang-diwaspadai-super-elja,https://akcdn.detik.net.id/community/media/visual/2020/03/01/176bd036-5e25-4b44-9e5b-5af09df9b7f4_11.jpeg?w=150&q=80,PSS Vs Persib: Ini Pemain Maung Bandung yang Diwaspadai Super Elja,sport.detik.com
19-04-2021 08:00:00,https://sport.detik.com/sepakbola/uefa/d-5537451/sah-madrid-barca-mu-liverpool-juve-sampai-inter-ikut-liga-super-eropa,https://akcdn.detik.net.id/community/media/visual/2021/04/19/logo-uefa_11.jpeg?w=150&q=80,"Sah! Madrid, Barca, MU, Liverpool, Juve sampai Inter Ikut Liga Super Eropa",sport.detik.com
19-04-2021 07:30:00,https://sport.detik.com/sepakbola/liga-indonesia/d-5537436/jadwal-piala-menpora-hari-ini-ada-pss-sleman-vs-persib,https://akcdn.detik.net.id/community/media/visual/2021/04/16/piala-menpora-persib-bandung-melawan-ps-sleman-2_11.jpeg?w=150&q=80,Jadwal Piala Menpora Hari Ini: Ada PSS Sleman Vs Persib,sport.detik.com
19-04-2021 07:00:00,https://sport.detik.com/sepakbola/liga-inggris/d-5537435/fokus-terus-mu-siapa-tahu-man-city-terpeleset,https://akcdn.detik.net.id/community/media/visual/2021/04/19/mason-greenwood_11.jpeg?w=150&q=80,"Fokus Terus, MU! Siapa Tahu Man City Terpeleset",sport.detik.com
19-04-2021 06:30:00,https://sport.detik.com/sepakbola/liga-italia/d-5537432/inter-milan-satu-poin-berharga-menuju-scudetto,https://akcdn.detik.net.id/community/media/visual/2021/04/19/inter-milan_11.jpeg?w=150&q=80,Inter Milan: Satu Poin Berharga Menuju Scudetto,sport.detik.com
19-04-2021 06:00:00,https://sport.detik.com/sepakbola/liga-inggris/d-5537431/klasemen-liga-inggris-8-poin-antara-man-city-dan-man-united,https://akcdn.detik.net.id/community/media/visual/2020/03/30/ffe45311-3ad3-41d0-8799-981dbf6758e5_11.jpeg?w=150&q=80,Klasemen Liga Inggris: 8 Poin Antara Man City dan Man United,sport.detik.com
19-04-2021 05:30:00,https://sport.detik.com/sepakbola/liga-inggris/d-5537424/wijnaldum-dibilang-tampil-loyo-hampir-pasti-tinggalkan-liverpool,https://akcdn.detik.net.id/community/media/visual/2021/01/01/georginio-wijnaldum_11.jpeg?w=150&q=80,"Wijnaldum Dibilang Tampil Loyo, Hampir Pasti Tinggalkan Liverpool",sport.detik.com
